                             C                           lam                             R                            Et                            Ef                             E                            Ft                            Ff                             F
      9.499999999999999556e-01      1.000000000000000000e+00      6.843595008335341401e-01      0.000000000000000000e+00      5.979080041992499420e-19      5.979080041992499420e-19      0.000000000000000000e+00     -2.066219969658546914e-17     -2.066219969658546914e-17
      9.504008016032063910e-01      1.000000000000000000e+00      6.857768168007414289e-01      0.000000000000000000e+00      5.896477344663065103e-19      5.896477344663065103e-19      0.000000000000000000e+00     -2.055670473165494544e-17     -2.055670473165494544e-17
      9.508016032064128265e-01      1.000000000000000000e+00      6.872026216966936607e-01      0.000000000000000000e+00      5.814299838981855996e-19      5.814299838981855996e-19      0.000000000000000000e+00     -2.045006513841022380e-17     -2.045006513841022380e-17
      9.512024048096191509e-01      1.000000000000000000e+00      6.886370013922453737e-01      0.000000000000000000e+00      5.732549742330385266e-19      5.732549742330385266e-19      0.000000000000000000e+00     -2.034325904852180988e-17     -2.034325904852180988e-17
      9.516032064128255863e-01      1.000000000000000000e+00      6.900800429860729501e-01      0.000000000000000000e+00      5.651229294753723890e-19      5.651229294753723890e-19      0.000000000000000000e+00     -2.023576748646241452e-17     -2.023576748646241452e-17
      9.520040080160320217e-01      1.000000000000000000e+00      6.915318348156499484e-01      0.000000000000000000e+00      5.570340759943479884e-19      5.570340759943479884e-19      0.000000000000000000e+00     -2.012757380256766849e-17     -2.012757380256766849e-17
      9.524048096192384572e-01      1.000000000000000000e+00      6.929924664907631815e-01      0.000000000000000000e+00      5.489886424976331171e-19      5.489886424976331171e-19      0.000000000000000000e+00     -2.001913471667940864e-17     -2.001913471667940864e-17
      9.528056112224448926e-01      1.000000000000000000e+00      6.944620289097755972e-01      0.000000000000000000e+00      5.409868601060980170e-19      5.409868601060980170e-19      0.000000000000000000e+00     -1.990994873108459111e-17     -1.990994873108459111e-17
      9.532064128256512170e-01      1.000000000000000000e+00      6.959406142863303613e-01      0.000000000000000000e+00      5.330289623734022806e-19      5.330289623734022806e-19      0.000000000000000000e+00     -1.979999914797059807e-17     -1.979999914797059807e-17
      9.536072144288576524e-01      1.000000000000000000e+00      6.974283161726420044e-01      0.000000000000000000e+00      5.251151853281888935e-19      5.251151853281888935e-19      0.000000000000000000e+00     -1.968972847863110164e-17     -1.968972847863110164e-17
      9.540080160320640879e-01      1.000000000000000000e+00      6.989252294880510252e-01      0.000000000000000000e+00      5.172457674919063098e-19      5.172457674919063098e-19      0.000000000000000000e+00     -1.957865166316513334e-17     -1.957865166316513334e-17
      9.544088176352705233e-01      1.000000000000000000e+00      7.004314505389606094e-01      0.000000000000000000e+00      5.094209499460727100e-19      5.094209499460727100e-19      0.000000000000000000e+00     -1.946720160729076764e-17     -1.946720160729076764e-17
